Category,Word,Mean_Valence,SD_Valence,Mean_Arousal,SD_Arousal,Mean_Familiarity,SD_Familiarity,Mean_Concreteness,SD_Concreteness,Frequency,Length,English,log_frequency,picked
animal,Abejorro,2.1315789474,1.3187023235,7.0789473684,1.5833863633,4.4,2.4152294577,7.52,1.5307950004,0.18,8,Bumblebee,-1.7147984281,True
animal,Almeja,4.9210526316,1.6986732334,3.4210526316,1.7496189384,4.24,2.3853720884,6.72,2.622339922,0.54,6,Clam,-0.6161861394,True
animal,Asno,5.3157894737,1.6942711605,4.5263157895,1.5894388285,3.32,2.3043437244,6.88,1.9433647796,3.93,4,Donkey,1.3686394259,True
animal,Babosa,2.1315789474,1.3390406536,5.0789473684,2.5296253215,3.44,2.2,6.76,1.9209372712,0.36,6,Slug,-1.0216512475,True
animal,Ballena,6.3783783784,1.3611953764,4.4324324324,1.9655440375,4.88,2.2605309111,7.96,1.3988090172,3.04,7,Whale,1.1118575154,True
animal,Buitre,3.1842105263,1.291453469,5.4210526316,1.3483038183,3.48,2.1432063208,6.92,2.3965252624,3.57,6,Vulture,1.2725655958,True
animal,Camello,5.8157894737,1.5041431638,4.8684210526,1.9054835895,4.28,2.622339922,7.56,1.2935738608,2.32,7,Camel,0.8415671857,True
animal,Canario,6.0526315789,1.6431243874,4.3421052632,2.030528034,3.96,2.2075627586,6.44,2.0631690834,5.54,7,Canary,1.7119945008,True
animal,Canguro,6.1315789474,1.0697575535,4.9473684211,1.9992886359,4.44,2.6627053911,7.68,1.7253019059,0.36,7,Kangaroo,-1.0216512475,True
animal,Caracol,5.0526315789,1.9583137868,3.2105263158,2.1073602642,5,1.9790570145,7.88,1.2355835329,5.36,7,Snail,1.6789639751,True
animal,Cebra,5.7105263158,1.4502170338,5.0263157895,1.7318454788,4.16,2.7184554438,7.52,2.2568414506,0.89,5,Zebra,-0.1165338163,True
animal,Chimpanc�,6.2368421053,1.2177562559,5.8947368421,1.4480083934,4.28,2.5742312768,7.88,1.855622088,4.82,9,Chimpanzee,1.5727739281,True
animal,Ciervo,6.5263157895,1.2021791499,4.8684210526,1.7269102644,3.24,2.2597935009,7.32,1.9941581348,1.79,6,Deer,0.5822156199,True
animal,Cocodrilo,4.6315789474,1.9371343091,6.6052631579,1.823858009,4.52,2.5839246635,7.88,1.4525839046,3.21,9,Crocodile,1.1662709371,True
animal,Culebra,1.8157894737,1.1821936357,7.5789473684,1.5357290539,3.88,2.3508863577,7.32,1.5470401848,2.32,7,Snake,0.8415671857,True
animal,Escarabajo,3.3684210526,1.6833212446,4.5526315789,2.2862381283,3.36,1.8,7.52,1.5307950004,1.43,10,Beetle,0.3576744443,True
animal,Gallina,4.5789473684,1.2221288238,4.6052631579,1.6030287833,4.64,2.6280537793,6.92,2.3259406699,13.04,7,Hen,2.5680215565,True
animal,Gaviota,5,1.9864405216,5.0263157895,1.9240559932,4.36,2.3252240035,7.92,1.5524174696,2.5,7,Seagull,0.9162907319,True
animal,Golondrina,6.3157894737,1.317353267,4.3421052632,1.834744489,3.12,2.0680103159,7.16,1.4047538337,2.32,10,Swallow,0.8415671857,True
animal,Gorri�n,5.7105263158,1.3931860188,4.3684210526,1.8948158669,3.32,2.4785748593,7.56,2.1031722072,0.89,7,Sparrow,-0.1165338163,True
animal,Leopardo,6.0789473684,1.9225768033,6.2894736842,1.8440246046,3.48,1.939071943,7.96,1.2741009902,0.54,8,Leopard,-0.6161861394,True
animal,Liebre,5.6052631579,1.2200902422,4.6842105263,1.875954001,4.16,2.2300971578,7.4,1.8929694486,5,6,Hare,1.6094379124,True
animal,Lince,6.8947368421,1.3313166351,6.6578947368,1.7285569015,3.6,2.1794494718,6.76,2.1268129521,1.25,5,Lynx,0.2231435513,True
animal,Lobo,4.8157894737,2.3579109301,6.8157894737,1.7375855127,4.4,2.4152294577,7.68,1.7729448196,15.18,4,Wolf,2.719978772,True
animal,Mejill�n,5.3421052632,1.6648401561,3.5789473684,2.0747071294,4.36,2.3430749028,7.76,1.7146428199,3.21,8,Mussel,1.1662709371,True
animal,Mono,6.3421052632,1.648526218,5.6842105263,2.0415317932,4.24,2.2412793965,6.28,1.6713268182,18.21,4,Monkey,2.9019708937,True
animal,Orangut�n,5.5,1.9555879741,5.9736842105,1.9657450565,3.16,2.1733231084,8,1.6329931619,1.07,9,Orangutan,0.0676586485,True
animal,Oso,5.6052631579,1.7939760112,5.2368421053,2.0721344333,4.72,2.6851443164,7.64,1.4685593848,11.43,3,Bear,2.4362414778,True
animal,Oveja,5.6578947368,1.341163589,4.0263157895,1.9794463068,3.68,2.1354156504,7.84,1.2476644848,6.61,5,Sheep,1.8885836539,True
animal,Pato,6.2368421053,1.2826115783,3.7631578947,1.8950035374,4.76,2.6814175356,7.8,1.6329931619,4.82,4,Duck,1.5727739281,True
animal,Perdiz,5.3157894737,1.6782433409,3.9473684211,1.9023082483,4.68,2.5119713374,8,1.2909944487,1.07,6,Partridge,0.0676586485,True
animal,Ping�ino,7,1.506741607,4.9473684211,2.2773546581,4,2.6770630674,7.04,2.0510160084,1.96,8,Penguin,0.6729444732,True
animal,Pulga,2.2894736842,1.2925544525,5.6315789474,2.1488029682,3.76,2.4372115214,7.24,1.9638397762,1.79,5,Flea,0.5822156199,True
animal,Tigre,5.9736842105,2.0199925355,7.2368421053,1.8370689129,3.76,2.5046623192,7.6,1.8484227511,4.29,5,Tiger,1.4562867329,True
animal,Toro,3.4210526316,1.9400693628,7,1.7706312815,4.76,2.6025628395,7.84,1.5459624834,13.21,4,Bull,2.5809741185,True
animal,Zorro,5.6315789474,1.9231316329,5.9210526316,1.6986732334,3.2083333333,2.2062986251,7.7916666667,1.5874279625,4.82,5,Fox,1.5727739281,True
animal,�guila,6.1578947368,1.5513954623,6,1.6765472886,4.32,2.4447222064,7.36,1.8,7.86,6,Eagle,2.0617866064,True
object,Alambre,3.2631578947,1.6054671885,4.0263157895,2.1496302901,3.64,2.0591260282,7.4,1.3228756555,4.64,7,Wire,1.5347143662,True
object,Alfombra,5.0263157895,1.1965455256,2.9210526316,1.8215167269,4.84,1.9723082923,7.44,2.1617893823,16.07,8,Carpet,2.7769541797,True
object,Ametralladora,1.4473684211,0.8913205636,7.3157894737,2.0678394935,3.6,2.3273733406,6.84,2.3216373532,0.08,13,Machine gun,-2.5257286443,True
object,Arco,4.8421052632,1.3259635108,4.0526315789,1.7076515946,4.08,2.4650895859,6.2,2.2546248764,22.86,4,Arc,3.1293886584,True
object,Bengala,4.6578947368,1.7595502464,6.1315789474,1.5451939899,3.16,1.8636880998,7.08,1.5790292376,1.07,7,Bengal,0.0676586485,True
object,Bistur�,3.2631578947,2.0883746496,6.5263157895,2.0630185455,4.04,2.4234960972,7.84,1.6753109164,6.07,7,Scalpel,1.8033586051,True
object,Br�jula,5.1052631579,1.5385053063,4,1.93125082,3.84,2.2300971578,7.84,1.1060440015,2.5,7,Compass,0.9162907319,True
object,Cheque,6.2105263158,1.4361716139,5.6842105263,1.7414697607,4.84,2.3216373532,6.84,1.9510680836,4.11,6,Check,1.4134230285,True
object,Cometa,6.3157894737,1.4162238172,5.1842105263,1.7375855127,4.88,2.4718414189,7.24,1.8321208112,7.5,6,Kite,2.0149030205,True
object,Dardo,4.3947368421,2.0865006743,4.9736842105,2.1115748203,3.92,2.3079572497,7.32,1.4352700094,7.5,5,Dart,2.0149030205,True
object,Desag�e,2.9473684211,1.4877403221,4.0789473684,1.8362944318,3.88,2.3330952259,7.36,1.3808210118,1.07,7,Drain,0.0676586485,True
object,Escudo,4.7368421053,1.4460423254,4.9473684211,1.7698277275,3.8,2.3094010768,6.2916666667,2.6454089298,8.93,6,Shield,2.1894163949,True
object,Esterilla,5.2368421053,1.6346618879,3.3947368421,1.9664685549,3.88,2.4207436874,6.56,2.5832795693,0.36,9,Wicker,-1.0216512475,True
object,Faja,3.6842105263,1.6620609667,3.8421052632,1.8087821166,3.96,2.4913182588,7.0416666667,1.3344650994,2.32,4,Belt,0.8415671857,True
object,Flecha,3.7631578947,1.9233165405,5.5,2.1529363983,4.64,2.514623895,6.08,2.1969676071,4.46,6,Arrow,1.495148766,True
object,Hamaca,7,1.506741607,3.3157894737,2.2673387562,4.28,2.622339922,7.88,1.3940349111,2.5,6,Hammock,0.9162907319,True
object,Inyecci�n,2.0526315789,1.2290925772,7,1.4886961464,5,1.8708286934,6.64,1.8230011885,6.96,9,Injection,1.9401794743,True
object,Jeringa,2,1.2080808994,6.9473684211,1.6594914301,3.56,2.3108440017,6.4,2.5658007197,1.07,7,Syringe,0.0676586485,True
object,Ladrillo,4.2368421053,1.4965584036,3.3157894737,1.8174122256,4.96,2.5735837529,6.6,1.9578900207,8.04,8,Brick,2.0844290832,True
object,Lancha,6.1578947368,1.6028069262,5.8947368421,1.9142350626,3.2,1.9148542155,7.12,2.0066555924,1.96,6,Boat,0.6729444732,True
object,L�tigo,3.0526315789,1.7850334,5.8157894737,1.7219609054,3.32,2.3043437244,7.72,1.5143755589,4.46,6,Whip,1.495148766,True
object,Machete,2.4736842105,1.7201012243,6.0263157895,2.1115748203,3.12,2.3860706891,7.56,1.1210114481,1.79,7,Machete,0.5822156199,True
object,Mecedora,6.3421052632,1.834744489,2.6578947368,1.6648401561,4.04,2.3537204592,6.52,2.2752289262,4.11,8,Rocking chair,1.4134230285,True
object,Misil,1.5526315789,0.7240041967,6.7894736842,1.9885876386,3.6,2.3804761428,7.8,1.3228756555,5,5,Missile,1.6094379124,True
object,Navaja,2.0789473684,1.459018162,6.4210526316,2.1514492783,3.64,1.7767010628,7.24,1.7860571099,13.39,6,Razor,2.5945081597,True
object,Patinete,5.7105263158,1.7692248224,5.1052631579,1.9699015435,3.52,2.1817424229,6.84,1.6753109164,0.18,8,Scooter,-1.7147984281,True
object,Pegamento,4.3947368421,1.4803117583,3.6578947368,1.7441224199,4.76,2.3323807579,7.4,1.7559422921,1.61,9,Glue,0.476234179,True
object,Peluche,7.4736842105,1.2244544754,4.1578947368,2.5204709533,4.8,2.4152294577,6.56,2.1424285286,2.14,7,Teddy,0.760805829,True
object,Pu�al,1.9210526316,1.4403749314,6.8947368421,1.7365618982,3.32,2.0760539492,7.52,1.5842979518,5.89,5,Dagger,1.7732559977,True
object,Refiner�a,3.6216216216,1.9054213788,4.3513513514,2.4405852692,3.6,2.9580398915,6.96,2.3,0.89,9,Refinery,-0.1165338163,True
object,Retrete,3.1578947368,1.7009745345,3.7368421053,2.0491819136,4.88,2.8331372481,7.8,1.6329931619,8.04,7,Toilet,2.0844290832,True
object,Sacapuntas,4.7105263158,1.2060185722,3.6842105263,1.8614911657,4.88,3.0730007051,7.4166666667,2.1652726842,0.18,10,Sharpener,-1.7147984281,True
object,Sierra,3.7105263158,2.0912674902,5.0526315789,2.1428368217,3.12,1.9646882704,6.76,1.4798648587,14.82,6,Mountain range,2.6959776199,True
object,Sombrilla,5.8421052632,1.4051318259,3.7631578947,1.9512187533,4.76,2.2412793965,7.88,1.0535653753,4.29,9,Umbrella,1.4562867329,True
object,Soplete,3.7631578947,1.6180437058,4.8421052632,2.0205206151,3.9166666667,2.7491764248,7.4,1.5275252317,2.5,7,Blowtorch,0.9162907319,True
object,Tr�pode,4.5789473684,1.2867637795,3.8157894737,2.1792047044,3.64,2.5311394009,6.56,1.8726095874,1.79,7,Tripod,0.5822156199,True
object,Tuerca,4.3421052632,1.648526218,3.4736842105,1.8561343455,4.08,2.5152865973,6.4,2.0615528128,0.71,6,Nut,-0.3424903089,True
